ParkID,Name,Official,Advisories,SpecialFeatures,Facilities,Washrooms,StreetNumber,StreetName,EWStreet,NSStreet,NeighbourhoodName,NeighbourhoodURL,Hectare,GoogleMapDest
138,Major Matthews Park,1,N,N,Y,N,2627,Manitoba Street,W 11th Avenue,Manitoba Street,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,0.06,"49.26158, -123.107238"
165,Nat Bailey Stadium,1,N,N,Y,N,4601,Ontario Street,W 30th Avenue,Ontario Street,Riley Park,https://vancouver.ca/news-calendar/renfrew.aspx,6.21,"49.242653, -123.106679"
7,Ravine Park,1,N,N,N,N,2159,W 36th Avenue,W 36th Avenue,Arbutus Street,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,0.72,"49.240902, -123.155935"
97,McCleery Park,1,N,N,N,N,6501,Marine Crescent,W 49th Avenue,Marine Crescent,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,0.25,"49.226973, -123.164155"
68,Callister Park,1,N,N,Y,N,2875,Oxford Street,Oxford Street,Renfrew Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,1.45,"49.286214, -123.045363"
183,Thornton Park,1,N,N,N,N,1166,Main Street,Terminal Avenue,Main Street,Strathcona,https://vancouver.ca/news-calendar/strathcona.aspx,1.49,"49.273946, -123.099212"
54,McSpadden Park,1,N,N,Y,N,2125,Victoria Drive,E 5th Avenue,Victoria Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,1.62,"49.265936, -123.066601"
133,China Creek North Park,1,N,N,Y,N,1001,E 7th Avenue,E 7th Avenue,Glen Drive,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,3.16,"49.264901, -123.083355"
81,Clark Park,1,N,N,Y,N,1500,E 14th Avenue,E 14th Avenue,Commercial Drive,Kensington-Cedar Cottage,https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx,4.28,"49.257142, -123.072405"
78,Thunderbird Park,1,N,N,Y,N,3485,E 2nd Avenue,E 2nd Avenue,Skeena Street,Hastings-Sunrise,https://vancouver.ca/news-calendar/hastings-sunrise.aspx,0.89,"49.268829, -123.028552"
34,Balaclava Park,1,N,N,Y,Y,4594,Balaclava Street,W 29th Avenue,Balaclava Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,5.0,"49.244951, -123.175247"
41,Quadra West Park,1,N,N,N,N,3250,Quadra Street,W 17th Avenue,Quadra Street,Dunbar-Southlands,https://vancouver.ca/news-calendar/dunbar-southlands.aspx,0.17,"49.257112, -123.180696"
58,Salsbury Park,1,N,N,N,N,1806,Adanac Street,Adanac Street,Salsbury Drive,Grandview-Woodland,https://vancouver.ca/news-calendar/grandview-woodland.aspx,0.17,"49.277291, -123.067926"
124,Marpole Park,1,N,N,Y,N,1410,W 72nd Avenue,W 72nd Avenue,Cartier Street,Marpole,https://vancouver.ca/news-calendar/marpole.aspx,0.27,"49.205507, -123.138307"
112,Kitsilano Beach Park,1,N,Y,Y,Y,1499,Arbutus Street,Cornwall Avenue,Arbutus Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,13.47,"49.273431, -123.153901"
224,Choklit Park,1,N,N,N,N,2400,Spruce Street,W 7th Avenue,Spruce Street,Fairview,https://vancouver.ca/news-calendar/fairview.aspx,0.07,"49.265482, -123.128905"
90,Arbutus Park,1,N,N,Y,N,7601,Arbutus Street,SW Marine Drive,Arbutus Street,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,0.74,"49.21659, -123.15513"
45,Granville Loop Park,0,N,N,Y,N,1435,W 5th Avenue,W 5th Avenue,Granville Street,Fairview,https://vancouver.ca/news-calendar/fairview.aspx,1.05,"49.267284, -123.13754"
121,Volunteer Park,1,N,N,N,N,2855,Point Grey Road,Point Grey Road,Macdonald Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,0.72,"49.271635, -123.169243"
120,Vanier Park,1,N,Y,N,Y,1000,Chestnut Street,Whyte Avenue,Chestnut Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,16.95,"49.277049, -123.143159"
235,Granville Island Water Park,0,N,N,Y,N,1348,Cartwright Street,,,Fairview,https://vancouver.ca/news-calendar/fairview.aspx,0.0,"49.26955, -123.135064"
150,Carleton Park,1,N,N,Y,N,3450,Price Street,Price Street,Joyce Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,0.68,"49.242002, -123.030451"
204,Rosemont Park,0,N,N,N,N,3101,Rosemont Drive,Rosemont Drive,Kerr Street,Killarney,https://vancouver.ca/news-calendar/killarney.aspx,1.36,"49.215746, -123.040816"
82,General Brock Park,1,N,N,Y,N,2301,Brock Street,Brock Street,Baldwin Street,Kensington-Cedar Cottage,https://vancouver.ca/news-calendar/kensington-cedar-cottage.aspx,2.11,"49.244757, -123.058517"
208,Rosemary Brown Park,0,N,N,N,N,2299,Redbud Lane,W 11th Avenue,Vine Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,0.12,"49.261821, -123.157388"
207,Sunset Beach Park,1,N,Y,Y,Y,1204,Beach Avenue,Beach Avenue,Bute Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,3.61,"49.281211, -123.139681"
29,Roundhouse Turntable Plaza,1,N,N,Y,N,181,Roundhouse Mews,Roundhouse Mews,Pacific Boulevard,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.91,"49.273379, -123.121603"
96,Maple Grove Park,1,N,N,Y,Y,6875,Yew Street,W 51st Avenue,Yew Street,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,4.2,"49.223703, -123.16013"
162,Cartier Park,1,N,N,Y,N,390,E 36th Avenue,E 36th Avenue,Prince Edward Street,Riley Park,https://vancouver.ca/news-calendar/renfrew.aspx,0.37,"49.237598, -123.097473"
206,Stanley Park,1,N,Y,Y,Y,2000,W Georgia Street,W Georgia Street,Chilco Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,400.0,"49.302701, -123.144307"
237,Yaletown Park,1,N,N,N,N,901,Mainland Street,Mainland Street,Nelson Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.17,"49.277042, -123.118921"
91,Elm Park,1,N,N,Y,Y,5800,Elm Street,W 41st Avenue,Elm Street,Kerrisdale,https://vancouver.ca/news-calendar/kerrisdale.aspx,1.49,"49.233847, -123.163488"
110,Hadden Park,1,N,Y,Y,Y,1905,Ogden Avenue,Ogden Avenue,Cypress Street,Kitsilano,https://vancouver.ca/news-calendar/kitsilano.aspx,2.92,"49.275353, -123.152513"
2,Carnarvon Park,1,N,N,Y,Y,2995,W 19th Avenue,W 19th Avenue,Mackenzie Street,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,3.79,"49.256555, -123.171406"
47,Sutcliffe Park,1,N,Y,Y,N,1318,Cartwright Street,Island Park Walk,Old Bridge Walk,Fairview,https://vancouver.ca/news-calendar/fairview.aspx,2.88,"49.268871, -123.134832"
152,Earles Park,1,N,N,Y,N,2801,E 41st Avenue,E 41st Avenue,Earles Street,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,1.59,"49.233476, -123.047702"
4,Park Site on Puget Drive,0,N,N,N,N,4309,Puget Drive,Puget Drive,MacDonald Street,Arbutus-Ridge,https://vancouver.ca/news-calendar/arbutus-ridge.aspx,0.09,"49.247723, -123.168194"
134,China Creek South Park,1,N,N,Y,N,1255,E 10th Avenue,E 10th Avenue,Clark Drive,Mount Pleasant,https://vancouver.ca/news-calendar/mount-pleasant.aspx,1.47,"49.261581, -123.079352"
203,Nelson Park,1,N,N,Y,N,1030,Bute Street,Nelson Street,Bute Street,West End,https://vancouver.ca/news-calendar/west-end.aspx,1.16,"49.282855, -123.129558"
30,Sun Yat-Sen Gardens,1,N,N,N,N,578,Carrall Street,Keefer Street,Carrall Street,Downtown,https://vancouver.ca/news-calendar/downtown.aspx,0.83,"49.279691, -123.104233"
153,Falaise Park,1,N,N,Y,Y,3434,Falaise Avenue,Worthington Drive,Falaise Avenue,Renfrew-Collingwood,https://vancouver.ca/news-calendar/renfrew.aspx,7.57,"49.256485, -123.031631"
